srcip,dstip,dstport,count
547,1,60408,4
1,196,2404,4
1,181,2404,4
563,8,36094,4
573,572,2404,4
575,574,2404,4
578,1,45674,4
426,425,2404,4
840,10,34636,4
419,418,2404,4
1,700,2404,4
342,343,2404,4
320,319,2404,4
388,18,35146,4
354,353,2404,4
1,610,2404,4
373,18,46402,4
397,396,2404,4
634,8,59272,4
411,412,2404,4
32,33,2404,4
1,933,2404,4
641,10,41076,4
360,1,37262,3
533,534,2404,3
1,218,2404,3
546,1,57162,3
647,8,54502,3
548,137,2404,3
709,8,39362,3
523,18,58344,3
8,792,2404,3
323,18,42046,3
712,1,48538,3
1,236,2404,3
559,8,34378,3
584,585,2404,3
566,10,54242,3
1,162,2404,3
717,10,36672,3
664,10,44434,3
149,18,47904,3
149,1,50260,3
294,295,2404,3
181,1,53460,3
370,8,54096,3
645,10,36154,3
1,388,2404,3
628,10,33888,3
1,467,2404,3
1,459,1024,3
449,448,2404,3
254,1,37864,3
1,446,2404,3
1,589,2404,3
613,614,2404,3
1,617,2404,3
1,408,2404,3
610,1,60236,3
388,1,35346,3
698,8,53926,3
1,625,2404,3
8,483,2404,3
218,1,47334,3
491,490,2404,3
580,10,45024,3
1,311,2404,3
370,18,57120,3
694,10,60840,3
196,1,40054,3
1,254,2404,3
1,544,2404,3
669,10,55930,3
375,376,2404,3
18,373,2404,3
43,42,2404,3
10,272,2404,3
10,652,2404,3
10,602,2404,3
10,752,2404,3
10,580,2404,3
848,8,33516,3
33,32,58562,3
783,38,51742,3
18,235,2404,3
743,18,53228,3
18,497,2404,3
18,275,2404,3
10,210,2404,3
748,10,60012,3
642,8,43454,2
1,650,2404,2
731,10,47068,2
13,8,57590,2
25,871,2404,2
381,10,47226,2
10,728,2404,2
371,10,43082,2
10,717,2404,2
10,738,2404,2
636,10,51410,2
1,637,41456,2
639,8,44262,2
428,1,2404,2
871,25,54626,2
863,10,53956,2
855,10,43636,2
629,8,49542,2
853,10,41336,2
629,18,60582,2
1,597,2404,2
400,18,46582,2
399,18,40624,2
847,10,51794,2
18,934,2404,2
1,615,1024,2
844,10,53790,2
637,1,2404,2
645,1,41184,2
10,704,2404,2
1,663,52968,2
440,1,55440,2
1,765,2404,2
654,8,35352,2
655,656,50367,2
1,779,2404,2
1,789,2404,2
1,796,2404,2
814,10,53318,2
1,856,2404,2
1,857,2404,2
309,10,60528,2
666,1,2404,2
1,895,2404,2
1,903,2404,2
802,8,57860,2
1,936,1024,2
816,10,33776,2
652,10,39402,2
1,762,2404,2
1,720,1026,2
362,18,59668,2
1,679,2404,2
1,680,1024,2
10,694,2404,2
356,10,49220,2
1,712,2404,2
824,10,36228,2
1,757,2404,2
648,8,44418,2
649,10,58060,2
650,1,35096,2
1,747,2404,2
1,750,2404,2
1,756,2404,2
18,703,2404,2
887,10,55060,2
886,1,2404,2
10,823,2404,2
543,10,54644,2
539,1,2404,2
10,840,2404,2
934,18,56116,2
10,835,2404,2
18,178,2404,2
596,8,59424,2
530,1,37788,2
597,1,46028,2
10,833,2404,2
600,1,47788,2
10,828,2404,2
523,1,34692,2
18,206,2404,2
10,824,2404,2
544,1,50632,2
10,847,2404,2
548,8,2404,2
10,893,2404,2
13,10,59006,2
10,944,2404,2
10,928,2404,2
10,906,2404,2
10,905,2404,2
948,18,35590,2
945,18,42342,2
10,853,2404,2
558,557,2404,2
586,8,47104,2
942,1,2404,2
554,10,55544,2
10,863,2404,2
590,10,58086,2
18,212,2404,2
931,1,50394,2
18,699,2404,2
517,18,60208,2
906,10,53906,2
18,579,2404,2
466,1,37460,2
902,10,53226,2
1,428,1024,2
18,622,2404,2
1,440,2404,2
615,1,2404,2
18,644,2404,2
895,1,45226,2
1,452,2404,2
1,453,2404,2
1,456,2404,2
792,8,43866,2
18,695,2404,2
18,532,2404,2
475,1,43262,2
18,489,2404,2
18,362,2404,2
602,10,58882,2
512,8,50056,2
506,10,53106,2
604,1,60730,2
604,18,59300,2
499,497,2404,2
18,369,2404,2
18,427,2404,2
18,399,2404,2
18,400,2404,2
489,18,45814,2
18,404,2404,2
916,18,58358,2
914,18,45842,2
796,1,57084,2
1,710,2404,2
579,18,51896,2
713,10,36762,2
10,187,2404,2
8,676,2404,2
750,1,48630,2
10,156,2404,2
10,554,2404,2
8,586,2404,2
764,1,33320,2
8,513,1026,2
684,10,52034,2
700,1,43494,2
718,18,50206,2
8,512,2404,2
187,10,34004,2
10,593,2404,2
767,1,34628,2
8,802,2404,2
739,10,44540,2
8,648,2404,2
126,38,51717,2
8,820,2404,2
10,525,2404,2
760,1,51122,2
674,18,49140,2
707,18,54324,2
8,565,1026,2
752,10,52204,2
680,1,2404,2
703,18,44884,2
704,10,40480,2
754,38,51826,2
8,686,2404,2
10,403,2404,2
84,38,51407,2
755,10,33728,2
756,1,38384,2
8,698,2404,2
8,709,2404,2
10,479,2404,2
172,171,2404,2
676,8,33736,2
10,191,2404,2
705,18,34762,2
706,1,53906,2
8,647,2404,2
673,1,43120,2
695,18,42418,2
8,873,2404,2
747,1,38710,2
212,18,59564,2
8,458,2404,2
8,596,2404,2
693,8,37572,2
688,8,50810,2
10,356,2404,2
10,684,2404,2
10,687,2404,2
8,611,1025,2
692,10,57152,2
206,18,54706,2
8,612,2404,2
10,371,2404,2
670,18,44740,2
8,618,1026,2
789,1,40496,2
10,300,2404,2
8,688,2404,2
720,1,2404,2
10,384,2404,2
10,636,2404,2
8,642,2404,2
10,669,2404,2
10,671,2404,2
8,848,2404,2
686,8,47306,2
738,10,36528,2
746,10,55292,1
920,18,45286,1
911,8,38600,1
900,38,51408,1
921,18,39310,1
745,10,42252,1
702,38,59530,1
898,1,50168,1
897,38,51484,1
605,8,2404,1
915,18,40400,1
909,38,51415,1
910,10,57964,1
908,38,51483,1
699,18,54206,1
918,18,42258,1
917,8,2404,1
609,10,45962,1
701,18,46576,1
904,18,43980,1
912,1,60254,1
697,10,55066,1
606,18,50640,1
611,8,2404,1
696,8,2404,1
907,10,56442,1
913,38,51417,1
930,8,2404,1
923,8,2404,1
723,8,2404,1
736,10,40328,1
941,38,51844,1
721,8,54642,1
587,10,44326,1
734,38,51391,1
733,18,47154,1
943,18,34118,1
944,10,58034,1
722,18,39800,1
946,10,55526,1
947,38,51754,1
724,8,36280,1
737,10,36980,1
725,10,45318,1
726,18,57494,1
583,38,51845,1
949,18,40458,1
950,8,47238,1
727,18,55736,1
951,10,42262,1
952,18,36558,1
728,10,55228,1
953,10,38678,1
729,1,49902,1
940,939,2404,1
